question,gemma3_answer
"Ngokwesicatshulwa, yeyiphi kwezi ndlela zilandelayo eyinxalenye ebalulekileyo yokucamngca yeTibetan?",2
"Ngokwesicatshulwa, zivulwa njani iichakra ngexesha “lombindi” lokucamngca weTibetan?",2
Ngubani owacula ingoma yesibini yonqulo ngexesha lenkqubo?,4
"Ngokwesicatshulwa, ngubani owacula ingoma yonqulo ngexesha lokunikela ngokutya?",1
Yayiyintoni intsebenzo yesibini phambi kweyokugqibela yobusuku?,1
Luhlanga luni uAlessandro Safinaa?,4
"Ngokwesicatshulwa, zeziphi iingxelo kwezi zilandelayo ezingachanekanga?",4
"Ngokwesicathsulwa, ngubani owenza uluvo ngenqanaba lobushushu obunganyamazelekiyo?",2
Umbane wacima phi ngenxa yetsunami?,1
"Ngokwesicatshulwa, iTonga yachaphazeleka njani kukucima kombane?",4
Amapolisa akwazi nini ukusebenzi imipu yokubona isantya ukubona isantya sokuqhuba sikaJonny Reid?,3
"Ngokwesicatshulwa, kutheni ngunzima kumapolisa aseNew Zealand ukubona isantya sika Jonny Reid?",1
Inyikima yayime phi xa kujongwe eButte?,2
Kwenzeka ntoni ngexesha lodushe eAbu Ghraib?,1
Kwakutheni iIraq idume kakubi? ,4
Loluphi uhlobo lomsithi owawuzakubanjwa kwiBala lesiKhumbuzo zeMfazwe laseMaui?,3
Ngubani owathi ekugqibeleni wanika ingcaciso ngokurhoxiswa komsitho?,2
Abahlali abaninzi base Bishkek babecinga ukuba ngubani owayenoxanduva lokuphanga?,3
Ngubani owayetyhola abaqhankqalazi basemazantsi ngokuphanga?,1
IRing yayibona nini intengiso enyukileyo?,1
UJamie Siminoff wagqiba nini ukuba aqale iRing?,1
Isiqendu ngasinye seRainbow Reading sasinika abantwana iingcebiso zantoni?,4
Yintoni yayinogalelo ekurhoxisweni kothotho lweRainbow Reading?,1
Yeyiphi kwezi zilandelayo eyayingeyompikiswano eyenziwe ngamagosa ngeAmsterdam kunye nemuseum ngomthi?,2
"Ngokomhloli oyintloko weRSPCA , uhlolo kufuneka lube ngumgangatho weziphi kwezi zilandelayo?",1
"Ngokwesicatshulwa, yintoni enokunceda ukubaluleka kwentlalontle yesilwanyane kubasebenzi basesilarheni baseAustralia?",1
"Ngokwesicatshulwa, yintoni umsebenzi womntu obanjiweyo?",1
"Ngokwesicatshulwa, ngelixa iindaba zazisasazeka ngokubanjwa kwakhona, bekungcwatywa amaxhoba amangaphi?",2
"Ekuphenduleni uqhankqalazo, leliphi ilizwe elingaqhubelanga phambili ngesivumelwano salo seACTa esityikityiweyo?",2
"Ngokwesicatshulwa, ngawaphi amazwe kula alandelayo athathe isigqibo sokurhoxisa inkqubo yokungena kwiACTA?",4
Bangaphi abantu abonzakalayo ngenxa yezehlo zokutshisa kakhulu kwePod?,1
Ngubani owathi iziganeko zokutshisa kakhulu sazingekho mandundu?,4
"Ngexesha lentetho yakhe, wathi uSteve Jobs ukuba iApple yayiza kuqamba ntoni kwakhona?",2
Yayiyintoni injongo yentetho yeeyure ezimbini kaSteve Jobs?,3
Yintoni eyabhengezwa nguCristina Fernandez de Kirchner kwindawo yeqonga yaseArgentina?,1
uCristina Fernandez de wazibhengeza phi iinjongo zakhe zokungenela?,2
Zazithini iziphumo zeACMA ngeBig Brother?,1
Yeyiphi imida ekufuneka iindawo zeendaba ziwele phantsi kwawo ukuze zithathwe njengomxholo we intanethi?,2
Ngubani inkokeli yeLiberal Party yaseAustralia?,1
Kutheni iAustralia ingekabinalo ishishini lamandla enyukliya?,1
Ngomphi umtyibilizi owakhuphisanayo ngoncedo lomkhokeli?,4
Leliphi ilizwe elagqiba kwishumi kwi Super-G iklasi emileyo yabasetyhini?,1
"Ngokwesicatshulwa, yeyiphi ingxelo ngoBlake engachanekanga?",2
"Ngokusekelwe kwisicatshulwa, yeyiphi kwezi zilandelayo engazange yenzeke kuBlake?",3
Yintoni eyingazukusetyenziselwa yona ingxowa mali yeglobal warming yeU.N.?,4
"Ngokwesicatshulwa, iU.N . inethemba lokugcina ntoni?",1
Yeyiphi kwezi zilandelayo engakhankwanyanga nguAlbert Muchanga njengento ekusafuna kuvunyelwane ngayo?,3
"Ngokwesicatshulwa, kutheni urhwebo lungaqala ngenyanga yeKhala?",2
"Ngokwesicatshulwa, ngaba uMgaqo siseko-weJournal yaseAtlanta watyhola amagosa ezemfundo ngantoni?",3
"Ngokusekelwe kwiinkcukacha kwisicatshulwa, yintoni eyayingakhankanywanga kwingxelo yomgaqo siseko weAtlanta Journal?",3
"Ngokwesicatshulwa, loluphi ulwazi olwaziwayo emva koqhushumbo?",2
Emva kokungena kwiManchester City ngo 2017 mingaphi imdlalo edlalwe nguJesus?,1
Yeyiphi ikhlabhu awafumana kuyo ipound eziyi 27 yezigidi yokungena kuyo?,1
Yeyiphi ingxelo ngeendwendwe zasehotele engeyiyo inyani?,1
"Ngokwesicatshulwa, zeziphi iingxelo kwezi zilandelayo ezichanekileyo?",3
"Ngokusekelwe kwisicatshuwa, loluphi ulwazi ngongquzulwano abaqiniseke ngalo?",1
"ngokwesicatshulwa, yintoni esafuna ukuqondwa ngongquzulwano?",4
"Ngokwesicatshulwa, yeyiphi indawo eyekhe yabanjwa nguBatten kuluhlu lwabaZizityebi baseAmerica?",1
Yeyiphi kwezi zilandelayo uBatten wenza umnikelo kuyo?,2
Yintoni engeyonxalenye yomthetho otyikitye ngurhuluneli uArnold Schwarzenegger?,3
"Ngokwesicatshulwa, ngubani owaphoswa zizinto zazithethwa?",3
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo eyinyani ngamava kaMiller kwingxoxo?",2
Ngubani owacebisa ukuba kwenziwe uhlaziyo kwi ‘Clean Air Act’?,3
Ngubani wakhanyela ukuba “iClean Air Acts” yayisetyenziswa njengeqhinga phambi konyulo?,3
Yintoni eyenziwa yicyanuric acid kunye nemelanine xa zisabela kunye kumchamo wekati?,3
Abaphandi basebenzisa iinfrared spectroscopy Ukujonga ntoni?,2
Ngubani owabhekisa kwiLuna nje “ngoKumkankazi wokugqithisileyo”?,4
Ngubani owabhekisa kuLuna “njengongaqhelekanga”?,2
Yintoni engenzekanga kumqhubi owayebandakanyeke kungquzulwano?,2
Yintoni yayingeyiyo into ebalaseleyo ngomdlalo weSouth Africa ngexesha letumente yombhoxo?,3
"Ngokwesicatshulwa, umdlalo weSouth Africa waqala nini ukuphuchuka?",4
"Ngokwesicatshulwa, zeziphi iingxelo kwezi zilandelayo ezingabonisi ngokuchanekileyo uqoqosho lwaseChina?",4
Ngokwesicatshulwa iGDP yaseChina inokuyodlula nini eyaseUnited States?,2
UHu wacebisa ukuba amazwe asaphuhlayo enze ntoni?,1
Yintoni engakhankanywanga nguHu?,4
UVeerman wathi zeziphi kwezi imeko yayingekho ntle?,2
Ngenxa yotshutshiso ngubani oya kuthatha isikudla seCabinet sikaHuhne?,1
Ngubani oya kuthatha indima yoMphathiswa wezoShishino emva kotshutshiso?,3
Abadlali bakhuthaza abaphulaphuli ukuba benze ntoni ngexesha leopera kaCamille Saint-Saens?,1
Ngubani otshaya kakhulu intsangu ngexesha leopera?,1
Leliphi elinye igama “lohambo lwasemajukujukwini” olwenziwa nguLeonov?,1
ULeonov wakhokela eyiphi inxalenye yemission yeSoviet?,2
Ngubani owonzakala kungquzulwano?,4
Kwenzeke ntoni kubantu ababandakanyeke kungquzulwano?,1
Izazinzulu ezazisebenza kwinkqubo zazinethemba lokujonga iziphumo ezibangelwa yeyiphi kwezi zilandelayo?,3
Izazinzulu zazijonge into yeyiphi kwezi zilandelayo?,4
"Ngokusekelwe kwisicatshulwa, yintoni engagxekwanga Zezinye zezezimali ezigcinwe ngokuzonwabisa?",2
Nguban ogxeka iinzame zoncedo zezivumelwano zokwakhiwa ngokutsha zenkanyamba uKatrina?,2
"Ngokwesicatshulwa, ukukhanya kwisiphekepheke seStardust kuya kubonakala phi kuqala?",2
"Ngokwesicatshulwa, isiphekepheke siya kumisa irekhodi kweziphi ezilandeyo?",3
Ugqirha. uMalar Balasubramanian uzalana njani noSaroja Balasubramanian?,1
Umzimba kaSara Balasubramanian wafunyanwa phi?,3
Yintoni eyathengwa yi eBay?,3
Yintoni ieBay efuna ukuyifeza ngokuthenga?,2
"Ngokwesicatshulwa, ngubani owangaze adibane namabanjwa ashiyekayo emva kokulwa?",3
Yeyiphi kwezi zilandelayo eyabangela ukuba amabanjwa ahlehle kudushe?,2
"Ngoluvo lukaAyatollah Ali Khamenei, yintoni ekufuneka ilizwe laseIran lizikhulule kuyo?",4
"Ngokwesicatshulwa, ngubani owavuma iziphumo zezohlwayo kuqoqosho lweIran?",2
Yeyiphi kwezi zilandelayo engeyonxalenye yenkqubo yonyulo lwaseFrance?,3
Abavoti babonisa phi abantu ababakhethayo?,3
Yintoni eyakhokelela ekubeni uAllen aqalise iminyaka esibhozo yokukhangela iMushashi?,3
"Ngokwesicatshulwa, uAllen wachitha imali yakhe eninzi entweni?",2
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo enokuthi ikhokelele kwiimeko ezinobungozi phakathi nakwindawo engqonge umzi wemveliso?",1
Yeyiphi kwezi zilanedelayo engeyiyo enye yeengcebiso ezinikwe kubahlali basekuhlaleni emva kwesiganeko kumzi mveliso?,1
"NgokukaGqirha. uMoll, yintoni eyona ixhalabisayo ngeXDR-TB?",4
Zingaphi izigulane ezifumene ulwaluhlo olutsha zagqinwa ukuba ngabasebenzi bezempilo?,3
Loluphi uhlobo lweteknoloji olusetenziswa yinkqubo yeNexGen?,1
Ingaba iNextGen ibanceda njani ngqo abalawuli betrafiki?,2
"Ngokweicatshulwa, yintoni ababhali mbali abangayigxekaga iFBI ngokugxila kuyo?",1
Inyathelo lamanyala liyenzaiFBI ukuba yenze ntoni?,2
Kwenzeka ntoni kwimoto yomlilo eyasabela kungquzulwano lweJAS 39C Gripen? ,1
"Emva kokuwa kweJAS 39C Gripen, izikho lwenqwelomoya lavalwa kwintoni?",3
uBrzezinski wanika bani isikhokelelo ngexesha leNguquko yaseIran?,3
Ngubani owayebambe isikhundla soMcebisi wezoKhuseleko lweLizwe kwade kwangu 1977?,2
Yeyiphi kwezi zilandelayo engabonisi ngokuchanekileyo umsebenzi kaBobek nePartizan Belgrade?,1
Yeyiphi ingxelo ngembali kaBobek nePartizan Belgrade echanekileyo?,1
"Ngokwesicatshulwa, loluphi uphawu ulwahlula iHesperonychus kwiVelociraptor?",2
Intsingiselo yegama “Hesperonychus”ithathwa koluphi uphawu lwesilwanyana?,1
Zeziphi iingxele kwezi zilandelayo ngokudutyulwa eziyinyani?,4
Yeyiphi ingxelo ngendawo ukudubula okwenzeke kuyo echanekileyo?,1
"Ngokwesicatshulwa, yayiyintoni inkxalabo yokuqala phakathi kwamagosa ngeLuno?",2
"Ngokwesicatshulwa, zeziphi iingxelo kwezi ilandelayo ngokumoshakala kweLuno ezingeyiyo inyani?",3
iAlgeria yafumana inkululeko kweliphi ishumi leminyaka?,3
Imiboniso kanomabonakude yayingalungiselelwanga phi kumsitho womngcwabo?,4
Umsitho womngcwabo wawubanjelwe phi?,1
"Emva kuqhushumbo, ngubani owanyangelwa ukwenzakala okukhulu?",1
Ngubani owaxela ukuvuza kwerhasi?,1
Ngokwesicashulwa kwasweleka abantu abangaphi kuhlaselo?,3
Sisixhoba sikabani esasilela ukudubula ngaxesha lithile ngexesha lohlaselo?,1
Zeziphi iinxalenye zemidlalo elandelayo ezanyulwa ukuba zikhutshwe kwinkqubo yeeOlimpiki?,2
Yeyiphi kule midlalo ilandelayo eyanyulwa yiKomiti yeOlimpiko yaMawe ngaMazwe ukuba iqukwe kwimidlalo?,3
UArthur Guinnes ekuqaleni waqesha iSt James’ Gate Brewery iminyaka emingaphi?,1
iGuinness ingenisa iibhiliyoni ezingaphi ngonyaka ngamnye?,4
Intsholongwane iH5N1 ichongwe kumazwe angaphi eEuorope?,2
Imeko yakutshanje yentsholongwane iH5N1 ichongwe phi?,1
iHaiti yagqibela nini ukudibana nesi sifo phambi kokusasazeka okubangelwe ngabagcini boxolo?,1
Yinkunkuma esuka kweyiphi indawo eyabanogalelo ekwandeni kwesifo?,2
Urhulumente waseIreland ucwangcise ukwenza ntoni?,2
Yintoni eyayisemthethweni okwexesha eIreland?,4
Umrhanelwa uphandelwa ntoni?,1
"Xa eguqula uphawo, yintoni engazange yenziwe ngumrhanelwa?",1
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo umfundisi wesiNgesi uKarno angazange atyholwe ngazo?",2
"Ngokwesicatshulwa, ngubani owathinjwa nguRolando Mendoza?",1
"Ngokusekelwe kwisicatshulwa, ngabaphi abathinjwa abangazange bangqinwe ukuba bakululwe kwangethuba?",1
"Ngokwesicatshulwa, ngubani oqokelela utyikityo ukuxhasa ukwenziwa emthethweni umtshato wesini esifanayo eBrazil?",1
Abaqhanqalazi baya kuwanika bani amaxwebhu abo ezikhalazo?,3
"Ngokwengxelo kaArmand Versac, kwenzekani kanye ngaphambi kokuba isihlwele siqalise ukusabela imozulu?",3
"NgokukaVersace, eynna mimoya ibhudla ngamandla yaqalisa nini?",1
"Phambi kukaFred, zingaphi izaqhwithi ezinkulu ezibhaliweyo empuma kwe35°W?",2
"Xa uFred wayekwiZiqhithi zaseCape Verde, yayisiya kweliphi icala?",1
Yeyiphi kwezi zilandelayo enezantya ezikhawulezayo kuneyandulelayo?,1
Yintoni eyimfuneko ekuze i802.11n ihambelane ngokubuyela emva ne802.11b?,4
Umzuzi wembasa egolide kwiiOlimpiki wayezakuqhuba kwimisitho emingaphi kwiiCommon Wealth Games?,2
Kwakutheni umphathi wembasa egolide yeeOlimpiki engazange athathe amayeza eentlungu?,3
"Ngokwesicatshulwa, yintoni eyayinokukhokelela kukubhidakala ngetshukumo yenyikima?",1
"Ngokwesicatsjulwa, lwenzeke nini utshintsho lwenqanaba?",3
Zeziphi iingxelo kwezi zilandelayo ngophando lweChandrayaan-1’s lunar ezingeyonyani?,1
Zeziphi iingxelo kwezi zilandelayo ezichaza ngokuchanekileyo uphando lwelunar?,2
"Ngokusekelwe kwisicatshulwa, ngowuphi umlinganiselo wokhuseleko ngokuchasene nesifo oya kusetyenziswa?",3
Sigqithela njani ebantwini isifo?,1
Ukusilela kwesivakalisi sesibini sinokukhokelela kwesiphi isiphumo?,2
"Ngokwesicatshulwa, isivakalisi sesibini sacinywa nini?",1
Zanikwa bani “impepha zePanama”?,1
"Ngokwesicatshulwa, iindaba zaseBritain zasisithi ngubani owayelawula uninzi lweenkampani ezisetyenziselwa ukufihla ubutyebi?",3
Zeziphi kwezi zilandelayo iingozi zeenqwelomoya eziye zabulala abantu abaninzi?,1
Yeyiphi kwezi zilandelayo engesosizathu sobuninzi beengozi ezenzeka emoyeni eIran?,2
Zeziphi kwezi ezazingaqukwanga kwingxelo evela kwiQela lokuFunda laseIraq?,1
Yeyiphi kwezi zilandelayo engacelwanga liQela lokuFunda laseIraq kwingxelo yalo?,1
"Ngokwamapolisa, ngubani owayethathwa njengomncedisi obaluleke kakhulu kaProvenzano?",2
"Ngokusekelwe kwiinkcukacha kwisicatshulwa, yayiyintoni unobangela wokufa kukaFalcone?",1
Yeyiphi kwezi zilandelayo engeyiyo enye yeewongo zikaHitoshi Saito?,2
Ingaba uIwasakiwakwazi phi ukuphepha ukwenza izifungo?,3
Ngubani owahlasela uIwasaki?,3
Ualonso ulugqibe nini ugqatso lwakhe?,2
Yintoni eyabangela uSchumacheragqibe ugqatso lwakhe phambi kwexesha?,1
"Ngokwesicatshulw, ngumsebenzi kabani ukumisa ibheyile yamabanjwa?",4
"Ngokomyalelo wothintelo lwexeshana okhankanywe kwisicatshulwa, yintoni ekufuneka ukuba umntu obanjiweyo avunyelwe ukuba abenayo ukuze abanjwe ixesha elingaphezu kweeyure esiyi 24?",1
"Ngokwesicatshulwa, sesiphi isizathu esingasetyenziswanga ukucacisa ukurhoxiswa konyulo lwesibini?",4
Kwakutheni unyulo lwesibini ekugqibeleni lubonwe lingeyomfuneko ngonozakuzaku?,2
Ngubani onika iinkonzo zeekundla kwiFATA?,1
Zeziphi ingxelo kwezi ezingeyiyo inyani “Ngabameli bezopolitiko” be FATA?,4
Leliphi ibhaso anyulelwe lona uEmma Stone?,3
Leliphi ibhaso onganyulelwango lona umdlalo bhanyabhanya?,1
Yeyiphi kwezi zilandelayo eyahlala isebenza emva kwenyikima?,4
"Ngokwesicatshulwa, zeziphi kwezi zilandelayo ezonakalayo ngenxa yenyikima?",4
"Ngokwesicatshulwa, yeyiphi imiba kule ilandelayo engaqukwanga kuxwebhu?",2
Yeyiphi kwezi zilandelayo engeyiyo enye yeemfuno zePalestine?,4
UMa wawufunda kweliphi ilizwe umthetho?,1
"Ngokwesicatshulwa, yinkxaso yeliphi ilizwe encede uloyiso lunyulo lukaMa?",4
"Njengokuba kutshiwo kwisicatshulwa, wayesebenzela bani uCarolyn Wilson ngaphambi kokuba ayishiye idolophu?",3
"Kusele imidyarho emini kweli xesha lonyaka, ngubani okwindawo yesine kubuNtshatsheli beDrivers?",4
"Emva kwemidyarho ekhankanwywe kwisicatshulwa, mangaphi amanqaku anawo uKahne kuBuntshatsheli beDrivers?",1
"Ngokwesicathsulwa, abantu bazibone kangaphi iimeteorites eziwayo ezithi kamva zibonakalise ukuba zine mvelaphi yaseMars?",4
"Njengoko kukhankanywe kwisicatshulwa, yintoni eyinyani efunyanwe ngamatye afunyaniswe ukuba anemvelaphi yaseMars?",4
USchumacher uwuthathe nini umhlala phantsi?,2
Walimala nini uMassa?,1
"Ngokwesicatshulwa, ilungiselelo luya kuyicaphazela njani iAOL?",2
Yeyiphi kwezi zilandelalyo enokuphela emva kolungiselelo olutsha?,3
Bangaphi abantu ababulawe kuhlaselo abangengawo amapolisa?,4
Ngubani owaxela umrhanelwa kuhlaselo?,1
"Ngenxa yomiselo waseFlorida njengendawo apho lowo uphumeleleyo uthatha yonke into, yintoni eyanikwa uMitt Romney?",3
"Ngokwesicatshulwa, uGingrich wafumana ipesenti engakanani yevoti kunyulo lokuqala?",2
"Ngokwesicathsulwa, ngubani ongazange aqhubeke emva kwesiphumo secaucus?",2
"Ngokwesicatshulwa, ngubani owathetha kakuhle ngomnye umgqatswa emva kweziphumo zecaucus?",2
Yeyiphi ekuphela kwendawo umboniso owawuboniswe kuyo phambi kuka 2015?,1
Isikhululo sichaza ukuba umboniso unomtsalane onjani?,3
Yintoni eyafunyanwa nguDavide eyathi ekugqibeleni yanceda iqela labahlaseli?,1
Sesiphi isithutho esasetyenziswa liqela labahlaseli ukuya uMumbai?,3
Yeyiphi ingxelo ebonisa ngokuchanekileyo isiphumo somdlalo kaNadal noRaonic Brisbane Ovulekileyo okhankanywe kwisicatshulwa?,3
"Ngokwesicatshulwa, umdlalo kaNadal noRaonic wayemephi emva komdlalo wokuqala?",3
Yeyiphi inkqubo yolwimi engaqukwanga kusasazo oluthathu olutsha lweNaked News?,3
"Ngokwesicatshulwa, usasazo olutsha lweNaked News alizukufumaneka phi?",1
Bangaphi abantu abakukhupiswano abangayigqibanga iGiant Slalom?,1
Zeziphi kwezi ngxelo zilandelayo ezibonisa ngokuchanekileyo iziphumo zemidyarho kukhuphiswano loBuntshatsheli?,2
Zeziphi kwezi zilandelayo iNBA egqibe kwelokuba izinqumamise?,3
"Ngokwesicatshulwa, yintoni eyabangela inkxalabo yeNBA ngokuphathelene nentsholongwane?",1
Ngubani owafaka inqaku elaphumelela umdlalo weWashington Capitals kumdlalo abawudlala neAtlanta Thrashers?,1
Ngubani owafaka inqaku lakhe lwesi 60 kwelo xesha lonyaka kumdlalo we Capitals ne Thrashers?,4
INothern Rock bhanki yayidinga nini inkxaso kurhulumente?,4
"Ngokwesicatshulwa, zeziphi ingxelo kwezi zilandelayo ezichaza ngokuchanekileyo intsebenziswano yeVirgin Group kunye bhanki iNorthern Rock?",2
"Njengoko kusthiwo kwisicatshulwa, sesiphi isizwe esicatshazelwe kukutyikitywa kotshintsho kwemozulu lweKyoto?",1
Urhulumente wangaphambili waseAustralia wayecinga ukuba ukutyikitywa kweKyoto kuya kubangela umonakalo entweni?,2
Abadubuli kuvavanyo baqeshelwa eyiphi inkqubo?,1
Yeyiphi ingxelo engabonisi ngokuchanekileyo uvavanyo lokulawulo izinambuzane?,3
"Ngokwesicatshulwa, ukwahlukana kwafunyanwa phi?",3
"Ngokwesicatshulwa, yintoni eyenzeka ngokukhawuleza kunokuba bekulindelwe?",2
Umdlali uyakudinga ntoni ukuze alawule intshukumo kumdlalo wevidiyo?,4
Yintoni eyayilwa ukuba ifane neremote yomabonakude?,2
Yintoni engachazwanga kwingxelo yamva nje evela kwiarhente yeendaba yeXinhua?,1
Yintoni eyayingachazwanga kwingxelo yangaphambili yearhente yeendaba yeXinhua?,2
Yintoni eyabhengezwa nguSara Danius ngexesha lenkqubo kanomathotholo?,1
Ngubani owayengafumaneki?,4
Ngubani owaphawula ngomnikelo ukuba “linyathelo elikhulu”?,3
Zingaphi izitampu ezenziwe nguSlania esenzela amazwe ahlukeneyo?,4
"Ngokwesicatshulwa, yintoni enokuba ngunobangele wokuvuza okuqhubekayo kwemingxuma yetanki?",3
Kwakutheni ukuze iivalvu zoncedo zivuleke?,2
"Okwangoku, aphakame kangakanani amanzi kwiWadi yeSithoba?",1
"Ngexesha lenyakamba uKatrina, kwenzeka ntoni kwiWadi yeSithoba?",2
Yeyiphi kwezi zilandelayo eyingazange ingqinwe nguHamilton?,1
Yintoni into izanzulu ezifuna ukuyiqonda?,4
"Ngokwesicatshulwa, amapolisa asekuhlaleni adlala eyiphi indima kuvalo?",1
Kwenzeka ntoni kwindawo zokungena ngexesha lokuvalwa?,1
"Ngokwesicatshulwa, yintoni engezekanga phambi kokuba umfoti atshayiswe yimoto?",2
Umfoti wayezama ukwenza ntoni ngaphambi kokuba atshayiswe yimoto?,2
Yeyiphi ingxelo engayichazi ngokuchanekileyo imeko kamongameli emva kokuba kufunyaniswe ukuba unayo intsholongwane?,1
"Ngokwesicatshulwa, zeziphi kwezi ngxelo zilandelayo ngomongameli ezingeyonyani?",4
"Ngokwesicatshulwa, inkanyamba uGuno yeyilindeleke nini ukuba iqhubeke ubabuthathaka?",1
Yayikhawuleza kangakanani imiyoya kwincopho yenyakamba uGonu?,1
Yeyiphi kwezi zilandelayo engathathwa njengophawu lweKarenia brevis?,1
Yeyiphi kwezi landelayo iKarenia brevis engakwazi ukuyenza?,1
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo engenzekanga ngenxa yenyakamba uFelicia?",4
Yeyiphi ingxelo ngenyakamba uFelicia engeyiyo inyani?,1
Yeyiphi ingxelo ebonisa ngokuchanekileyo isiphumo seHugarian Grand Prix yango 2009?,3
Yenzeka nini ingozi?,2
"Ngokwesicatshulwa, yeyiphi kwezi zilandelayo eya thatha ixesha elincinci kunoko abaphandi babekholelwa ekuqaleni?",3
Yeyiphi kwezi zinto zilandelayo eyingazange ixelwe ngabaphandi?,2
ICowParade iza kwenzeka phi?,2
Yeyiphi ingxelo kwezi zilandelayo eyichaza ngokuchanekileyo iCowParade?,4
Yintoni eyabangela ukuba iRussia iyeke ukusetyenziswa kwe II-76s?,2
Yintoni i II-76?,3
Ngubani owaqesha iqela lokubhala lwe The Simpsons?,2
"Ngokutsho kukaFluke, ngubani owayemthumela izimvo ezikhuthazayo nenkuthazo?",1
"Ngokwesicatshulwa, yintoni abanye abantu babengafuni abafazi bathethe ngayo?",3
"Ngokwesicatshulwa, sesiphi esona sijikelezi langa esinotshintsho olukhulu?",2
Imilambo namachibi anolwelo olucacileyo achongwe kwesiphi isijikelezi langa?,2
Yintoni kwezi zinto zifunyanisiweyo engeyiyo isiphumo sokufunyanwa kweentsiba?,4
Iintsiba zedinosaur zazingena ntoni?,3
Zeziphi kwezi ngxelo zilandelayo ngeZMapp ezingeyonyani?,4
Zeziphi kwezi ngxelo zilandelayo ezichaza ngokuchanekileyo uvavanyo lwePALM?,2
Kuphi apho abaphandi bacinga ukuba ichip entsha iya kubaluleka kakhulu?,1
Yeyiphi indlela eya kusetyenziswa ukwakha isixhobo sokuxilonga?,3
"Ngokwesicatshulwa, yeyiphi ingxelo ngelobate scraps eyingeyonyani?",2
"Ngokwesicatshulwa, yeyiphi ithiyori ngokuphathelene nokumila komhlaba ebonisa ukuba kukho intshukumo eyenzeka enyangeni?",4
"Ngokwesicatshulwa, yintoni engasayi kubakho ngobuninzi kude kubekho utshintsho?",2
"Ngokwesicatshulwa, yintoni engeyiyo ingxaki ngoku yabatywini?",4
"Ngaphezu komkhenkce, yintoni enye echaphazela iinzame zokuhlangula?",2
Yeyiphi inkolelo uRoberts wayengafuni ukuyingqina?,4
Sesiphi isihloko athe uRoberts wacinga ukuba asifanelekanga ukuba kuxoxwe ngaso?,4
Ibhekise phi imisebe yokukhanya emibini?,1
"Ngokwesicatshulwa, izakhiwo eziphezulu zakhiwa nini kwisiza?",3
Zeziphi iinkcukacha ezibonisa ukuba The Seven Sisters yimiqolomba?,1
Ijongwa njani indlela obutshintsha ngayo ubushushu be Seven Sisters?,1
"Ngokwesicatshulwa, yeyiphi ingxelo engenyiyo inyani ngomrhanelwa?",1
Zeziphi iinkcukacha malunga nohlaselo ezingqinwe ngabasemagunyeni?,3
Ngawaphi amaqela aza kudlala kumdlalo oseEllis Park?,3
ISpringboks ziza kuwudlala phi umdlalo wazo olandelayo?,3
Yeyiphi kwezi zilandelayo isikhululo sasemajukujukwini sasinengxaki nayo ngexesha lwemishini?,4
"Ngokwesicatshulwa, yayiyintoni injongo yemishini yesithishi sasemajukujukwini?",3
Zeziphi kwezi ngxelo zilandelayo ngetyala ezingeyonyani?,4
Zeziphi kwezi ngxelo ezilichaza ngokuchanekileyo ityala?,1
"Ngokwesicatshulwa, uVidal waqala ukudlalela eyiphi iklabhu kwizigaba zonyaka ezintathu ezidlulileyo?",1
Mingaphi imidlalo uVidal ayidlalele iBarca?,1
Leliphi iqela elalichasileyo kulo mdlalo?,2
Kwakutheni kuze uJarque ahlale ehotele?,2
Kwakutheni iarhente yeJakarta geophysics inganiki isilumkiso?,4
"Ngokwesicatshulwa, yabangela ntoni inyikima?",4
Yeyiphi kwezi ekhuthaza intshukumo yeLanga nazo zonke ezinye iinkwenkwezi?,4
Limiselwa njani inani lerossby lenkwenkwezi?,1
Yeyiphi ipesenti yabantu ababuzwayo abaxhasa ukuba iAustralia ibe yiriphabliki ngokukhawuleza?,2
"NgokukaJulie Gillard, iAustralia kufuneka ibe yiriphabliki nini?",2
Ngowuphi umbutho ophantsi kophando lomthetho?,1
UCliff Stearns wayeyintloko yeyiphi ikomiti?,4
"Ngokwesicatshulwa, yintoni eyingakhange yenzeke kumfazi waseSweden?",2
Yeyiphi inkampani eyawongwa ngembasa iTaiwan Sustainable Award ngo 2007?,3
Yintoni iPC eyi ASUS Eee?,1
Ngubani owayenoxanduva lwamaxwebhu eposi alahlekileyo?,1
"Ngokwesicatshulwa, ngubani owacela uxolo malunga namaxhwebhu alahlekileyo?",4
Kwakufuneka athethe ngawo nini umba wakhe wegxalaba uDel Potro?,1
Sasithini isiphumo sekhefu lokuqala lomdlalo?,4
"Njengoko kutshiwo kwisicatshulwa, ngubani, ngokukodwa, owayedibene nesigulana?",2
"Ngokwesicatshulwa, sesiphi isiqinisekiso irhuluneli yayingasenzanga xa yayithetha nabemi baseTexas?",1
Yeyiphi indawo yeendaba ezihlekisayo eyenziwa ngabafundi ababini ababesukuba ngabafundi baseUW?,3
"Ngokwesicatshulwa, yeyiphi kwezi engaqukwanga kwindaba ezihlekisayo zenkampani yeUnion?",1
"Ngokwesicatshulwa, yintoni eyayigadwe ngamapolisa?",3
